# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.243369337342958535e-09;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;1.000000000000000056e-01;0.000000000000000000e+00;-3.662841086162105540e-09;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000111e-01;2.000000000000000111e-01;0.000000000000000000e+00;1.340799500718708953e-08;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000444e-01;3.000000000000000444e-01;0.000000000000000000e+00;-4.996913894421328210e-08;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000222e-01;4.000000000000000222e-01;0.000000000000000000e+00;1.864685607470228332e-07;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e-01;5.000000000000000000e-01;0.000000000000000000e+00;-6.959051043591039228e-07;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000888e-01;6.000000000000000888e-01;0.000000000000000000e+00;2.597151852292048206e-06;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
7.000000000000000666e-01;7.000000000000000666e-01;0.000000000000000000e+00;-9.692702365700793101e-06;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
8.000000000000000444e-01;8.000000000000000444e-01;0.000000000000000000e+00;3.617365674392524128e-05;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
9.000000000000000222e-01;9.000000000000000222e-01;0.000000000000000000e+00;-1.350019357197023958e-04;0.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+00;9.999999999999998890e-01;-1.795709848179116719e-18;5.038338814805516088e-04;3.490658503988579298e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.100000000000000089e+00;1.099999847691126131e+00;1.745329183452779985e-04;3.355657176613247635e-03;3.490658202941477467e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.199998476914420076e+00;6.981295778397954592e-04;7.017489884233027095e-03;3.490658665319221199e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.299994669216921750e+00;1.570783565556623093e-03;1.046228329396051843e-02;3.490658439146124975e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.399987206175336674e+00;2.792484271305032718e-03;1.396523093140333675e-02;3.490658527154645585e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.499974869410924949e+00;4.363216799170914831e-03;1.745259671546539951e-02;3.490658496229531726e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.599956440604325847e+00;6.282962013901329315e-03;2.094413745201827853e-02;3.490658506483518969e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.699930701510410369e+00;8.551696522731378272e-03;2.443455957853837499e-02;3.490658503208748237e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.799896433973121379e+00;1.116939268223183027e-02;2.792528141461460278e-02;3.490658504227489578e-02;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.899852419940319948e+00;1.413601859643324847e-02;3.141592295034772997e-02;3.490658503916665989e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;1.999797441478624593e+00;1.745153811794278309e-02;3.490658600053935662e-02;3.490658504010093338e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;2.099730280788252301e+00;2.111591084815172062e-02;3.839724328649220253e-02;3.490658503982341232e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.199649720217855986e+00;2.512909213778194428e-02;4.188790211682744818e-02;3.490658503990505535e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.300000000000000266e+00;2.299554542279362401e+00;2.949103308745201768e-02;4.537856053341313839e-02;3.490658503988122718e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.400000000000000355e+00;2.399443529662808050e+00;3.420168054821615122e-02;4.886921906075886862e-02;3.490658503988813832e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000000e+00;2.499315465251167101e+00;3.926097712227283321e-02;5.235987755850077252e-02;3.490658503988614686e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.600000000000000089e+00;2.599169132135187965e+00;4.466886116362637354e-02;5.585053606417213906e-02;3.490658503988671585e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.700000000000000178e+00;2.699003313628215217e+00;5.042526677885034170e-02;5.934119456772096041e-02;3.490658503988655625e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.800000000000000266e+00;2.798816793281018622e+00;5.653012382788710072e-02;6.283185307184112334e-02;3.490658503988659789e-02;4.000000000000000000e+00;0.000000000000000000e+00
2.900000000000000355e+00;2.898608354896612394e+00;6.298335792490412921e-02;6.632251157576735112e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000000e+00;2.998376782545075336e+00;6.978489043919597345e-02;6.981317007974745248e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.100000000000000089e+00;3.098120860578368330e+00;7.693463849615840566e-02;7.330382858378037270e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.200000000000000178e+00;3.197839373645143368e+00;8.443251497827887475e-02;7.679448708775177268e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.300000000000000266e+00;3.297531106705554382e+00;9.227842852619985714e-02;8.028514559172690579e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.400000000000000355e+00;3.397194845046060951e+00;1.004722835398493413e-01;8.377580409573592846e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.500000000000000000e+00;3.496829374294230242e+00;1.090139801795867586e-01;8.726646259972739572e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.600000000000000089e+00;3.596433480433534058e+00;1.179034143674290852e-01;9.075712110372148589e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.700000000000000178e+00;3.696005949818139680e+00;1.271404777883136938e-01;9.424777960766690665e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.800000000000000266e+00;3.795545569187699364e+00;1.367250578914210868e-01;9.773843811165817963e-02;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
3.900000000000000355e+00;3.895051125682131410e+00;1.466570378915573736e-01;1.012290966156994543e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000000e+00;3.994521406856400336e+00;1.569362967705542344e-01;1.047197551196500653e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.100000000000000533e+00;4.093955200695292618e+00;1.675627092787539685e-01;1.082104136236529679e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.200000000000000178e+00;4.193351295628176878e+00;1.785361459365508718e-01;1.117010721276486540e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.299999999999999822e+00;4.292708480543776517e+00;1.898564730359372510e-01;1.151917306316052880e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.400000000000000355e+00;4.392025544804917025e+00;2.015235526421661483e-01;1.186823891356332122e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.500000000000000000e+00;4.491301278263285290e+00;2.135372425954096820e-01;1.221730476395936488e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.600000000000000533e+00;4.590534471274172468e+00;2.258973965124937144e-01;1.256637061435976754e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.700000000000000178e+00;4.689723914711205310e+00;2.386038637886983560e-01;1.291543646475932505e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.800000000000000711e+00;4.788868399981094370e+00;2.516564895995636042e-01;1.326450231515450828e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.900000000000000355e+00;4.887966719038347563e+00;2.650551149028063103e-01;1.361356816555539251e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e+00;4.987017664399991723e+00;2.787995764402403931e-01;1.396263401595445319e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.100000000000000533e+00;5.086020029160295053e+00;2.928897067397692178e-01;1.431169986635529578e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.200000000000000178e+00;5.184972607005457590e+00;3.073253341174278508e-01;1.466076571675201667e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.300000000000000711e+00;5.283874192228324773e+00;3.221062826794693912e-01;1.500983156715197386e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.400000000000000355e+00;5.382723579743065478e+00;3.372323723245239102e-01;1.535889741755046556e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.500000000000000000e+00;5.481519565099866931e+00;3.527034187457674941e-01;1.570796326794750009e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.600000000000000533e+00;5.580260944499602971e+00;3.685192334331975350e-01;1.605702911834794300e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.700000000000000178e+00;5.678946514808504098e+00;3.846796236759036924e-01;1.640609496874736173e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.800000000000000711e+00;5.777575073572819520e+00;4.011843925644346109e-01;1.675516081914683875e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.900000000000000355e+00;5.876145419033463213e+00;4.180333389931808474e-01;1.710422666954343474e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.000000000000000000e+00;5.974656350140666206e+00;4.352262576628411761e-01;1.745329251994403863e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.100000000000000533e+00;6.073106666568602208e+00;4.527629390829163158e-01;1.780235837034180035e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.200000000000000178e+00;6.171495168730014136e+00;4.706431695742555599e-01;1.815142422073856565e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.300000000000000711e+00;6.269820657790837082e+00;4.888667312716767355e-01;1.850049007114243083e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.400000000000000355e+00;6.368081935684798189e+00;5.074334021266077022e-01;1.884955592153833015e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.500000000000000000e+00;6.466277805128022749e+00;5.263429559097844157e-01;1.919862177193639996e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.600000000000000533e+00;6.564407069633612757e+00;5.455951622140385870e-01;1.954768762233785595e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.700000000000000178e+00;6.662468533526235248e+00;5.651897864570656349e-01;1.989675347273291428e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
6.800000000000000711e+00;6.760461001956687532e+00;5.851265898843137636e-01;2.024581932313509747e-01;3.490658503988659095e-02;4.000000000000000000e+00;0.000000000000000000e+00
