# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -3.761; -0.191; 3.766
3.1; 0.216; -3.747; 0.053; 3.747
6.2; 0.445; -3.733; 0.243; 3.741
9.3; 0.690; -3.719; 0.259; 3.728
12.4; 0.956; -3.704; 0.103; 3.706
15.5; 1.246; -3.690; -0.155; 3.694
18.6; 1.570; -3.677; -0.138; 3.679
21.7; 1.947; -3.647; -0.148; 3.650
24.8; 2.382; -1.955; 7.778; 8.019
27.9; 2.859; -2.701; 7.979; 8.424
31.0; 3.429; -3.651; 6.676; 7.609
34.1; 4.163; -3.300; 4.356; 5.465
37.2; 5.059; 1.841; 1.453; 2.345
40.3; 5.799; 0.219; -5.488; 5.493
43.4; 6.351; 2.355; -4.739; 5.292
46.5; 6.793; 3.266; 2.386; 4.045
49.6; 7.179; 0.653; 5.510; 5.548
52.7; 7.556; -0.406; 6.787; 6.799
55.8; 7.927; -0.280; 6.756; 6.762
58.9; 8.287; 0.555; 5.988; 6.014
62.0; 8.626; 1.795; 4.731; 5.060
65.1; 8.935; 3.121; 3.151; 4.435
68.2; 9.217; 3.247; 2.131; 3.884
71.3; 9.478; 3.274; 0.836; 3.379
74.4; 9.722; 3.267; -0.104; 3.269
77.5; 9.952; 3.253; -0.578; 3.304
80.6; 10.170; 3.240; -0.642; 3.303
83.7; 10.378; 3.228; -0.413; 3.255
86.8; 10.584; -2.188; -0.059; 2.189
89.9; 10.800; -3.748; 0.281; 3.758
93.0; 11.028; -3.734; 0.331; 3.748
96.1; 11.273; -3.719; 0.025; 3.719
99.2; 11.537; -3.707; -0.488; 3.738
102.3; 11.827; -3.696; -0.776; 3.777
105.4; 12.151; -3.677; -0.351; 3.694
108.5; 12.529; -3.578; -0.014; 3.578
111.6; 12.963; -1.780; 7.285; 7.499
114.7; 13.421; -2.202; 7.926; 8.227
117.8; 13.895; -1.543; 7.480; 7.637
120.9; 14.337; 0.792; 5.796; 5.850
124.0; 14.732; 1.670; 4.685; 4.974
127.1; 15.092; 1.082; 5.255; 5.365
130.2; 15.439; 0.116; 6.348; 6.349
133.3; 15.781; 0.177; 6.382; 6.385
136.4; 16.108; 1.517; 5.050; 5.273
139.5; 16.409; 3.194; 3.069; 4.430
142.6; 16.684; 3.279; 0.994; 3.426
145.7; 16.939; 3.273; -0.667; 3.340
148.8; 17.195; -3.410; -1.331; 3.661
151.9; 17.473; -3.700; -0.610; 3.750
155.0; 17.779; -3.683; -0.038; 3.683
158.1; 18.124; -3.656; -0.127; 3.659
161.2; 18.513; -1.578; -6.568; 6.755
164.3; 18.927; -1.613; -7.822; 7.987
167.4; 19.346; -1.000; -7.387; 7.454
170.5; 19.746; 0.344; -6.137; 6.147
173.6; 20.145; -1.413; -6.897; 7.040
176.7; 20.557; -1.395; -6.548; 6.695
179.8; 20.958; 0.795; -4.165; 4.241
182.9; 21.388; -2.772; -0.188; 2.778
186.0; 21.946; -4.498; -4.550; 6.398
189.1; 22.641; -1.619; -4.012; 4.326
192.2; 23.299; 0.093; -5.413; 5.414
195.3; 24.017; -2.778; 2.912; 4.025
198.4; 24.924; 0.902; 2.562; 2.716
201.5; 25.690; -0.893; 4.973; 5.052
204.6; 26.307; -0.636; 5.939; 5.973
207.7; 26.825; 1.343; 5.336; 5.503
210.8; 27.252; 3.414; 0.919; 3.536
213.9; 27.669; -2.263; -1.204; 2.563
217.0; 28.153; -2.200; -1.712; 2.788
220.1; 28.823; -4.875; -3.320; 5.898
223.2; 29.847; -0.902; -4.155; 4.252
226.3; 30.714; -0.109; -4.387; 4.388
229.4; 31.315; 0.747; -5.948; 5.995
232.5; 31.797; 3.605; 0.177; 3.610
235.6; 32.222; -0.071; 6.085; 6.085
238.7; 32.632; -0.298; 6.602; 6.609
241.8; 33.043; -0.774; 7.055; 7.098
244.9; 33.454; -1.108; 7.487; 7.569
248.0; 33.842; 1.286; 5.446; 5.596
251.1; 34.194; 1.862; 1.766; 2.566
254.2; 34.563; -3.645; 0.082; 3.646
257.3; 34.991; -2.158; 5.572; 5.975
260.4; 35.459; -2.153; 7.466; 7.770
263.5; 35.946; -2.318; 7.140; 7.507
266.6; 36.429; -0.473; 6.468; 6.486
269.7; 36.868; 1.033; 5.664; 5.757
272.8; 37.266; 1.459; 4.695; 4.917
275.9; 37.627; 1.842; 4.672; 5.022
279.0; 37.955; 2.753; 3.583; 4.519
282.1; 38.255; 2.670; 3.634; 4.510
285.2; 38.535; 2.058; 4.378; 4.838
288.3; 38.806; 0.057; 6.807; 6.807
291.4; 39.077; -0.576; 7.849; 7.870
294.5; 39.351; -0.478; 7.929; 7.943
297.6; 39.629; -0.285; 7.762; 7.767
300.7; 39.899; 2.783; 3.514; 4.482
303.8; 40.150; 3.242; 1.996; 3.807
306.9; 40.387; 3.257; 0.745; 3.341
310.0; 40.610; 3.247; -0.467; 3.281
313.1; 40.823; 3.236; -0.022; 3.236
316.2; 41.028; 1.887; 3.956; 4.383
319.3; 41.232; -0.946; 7.254; 7.315
322.4; 41.438; -0.303; 7.810; 7.816
325.5; 41.645; -0.243; 7.677; 7.681
328.6; 41.852; 0.411; 6.352; 6.366
331.7; 42.054; 3.209; 2.144; 3.859
334.8; 42.247; 3.209; 0.551; 3.256
337.9; 42.438; -0.107; -0.044; 0.115
341.0; 42.633; -3.775; -0.279; 3.786
344.1; 42.837; -3.761; -0.191; 3.766
