# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
310.0; 40.610; -0.00002; 4290.6; -0.0; -10.9
313.1; 40.823; 0.04063; 2752.4; -1.0; 1921.0
316.2; 41.028; 0.06811; 38.0; -526.4; 3522.8
319.3; 41.232; 0.05634; 252.1; -0.0; 3792.9
322.4; 41.438; 0.03948; 225.8; -0.0; 3728.2
325.5; 41.645; 0.02065; 904.0; -0.0; 3085.1
328.6; 41.852; 0.01275; 4290.6; -0.0; 1041.3
331.7; 42.054; 0.00382; 4290.6; -0.0; 267.4
334.8; 42.247; -0.00092; 274.0; -49.8; -21.3
337.9; 42.438; -0.00226; 0.0; -4290.6; -135.3
341.0; 42.633; -0.00122; 0.0; -4290.6; -92.6
