# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 15.69; 0.03285; -0.08092; -0.07703; -0.02944
3.1; 0.200; 15.31; 0.01965; -0.00948; -0.05183; -0.00638
6.2; 0.406; 14.85; 0.00802; 0.01858; 0.00287; 0.01415
9.3; 0.618; 14.36; 0.00205; 0.00109; 0.07426; 0.02075
12.4; 0.837; 13.87; 0.00077; -0.01875; 0.12815; 0.00899
15.5; 1.065; 13.35; 0.00098; 0.00512; 0.12484; -0.01535
18.6; 1.301; 12.92; -0.00008; 0.14699; 0.05749; -0.03050
21.7; 1.544; 12.64; -0.00733; 0.30818; -0.03701; -0.02280
24.8; 1.791; 12.45; -0.02482; 0.38424; -0.11829; 0.00580
27.9; 2.040; 12.46; -0.04330; 0.35114; -0.14752; 0.05016
31.0; 2.287; 12.68; -0.03534; 0.00504; -0.08898; 0.07216
34.1; 2.535; 12.34; -0.00972; -0.34461; 0.00928; 0.03216
37.2; 2.789; 12.15; 0.01727; -0.40336; 0.04434; -0.01836
40.3; 3.044; 12.15; 0.03902; -0.37183; 0.02519; -0.05114
43.4; 3.299; 12.15; 0.05352; -0.34392; -0.00909; -0.06358
46.5; 3.554; 12.15; 0.06311; -0.32953; -0.02349; -0.06281
49.6; 3.809; 12.16; 0.06865; -0.29428; -0.00591; -0.06127
52.7; 4.064; 12.18; 0.06082; -0.15756; 0.00873; -0.06479
55.8; 4.314; 12.61; 0.02209; 0.17824; -0.03239; -0.04038
58.9; 4.558; 12.77; -0.00008; 0.33371; -0.05351; 0.00511
62.0; 4.801; 12.81; -0.01987; 0.36032; -0.01866; 0.03676
65.1; 5.042; 12.82; -0.03706; 0.34950; 0.03040; 0.05236
68.2; 5.284; 12.81; -0.05032; 0.33159; 0.06145; 0.05567
71.3; 5.526; 12.81; -0.05988; 0.31550; 0.05598; 0.05242
74.4; 5.767; 12.81; -0.06537; 0.28399; 0.01974; 0.05331
77.5; 6.009; 12.83; -0.06009; 0.17400; -0.00410; 0.06192
80.6; 6.247; 13.24; -0.02564; -0.14585; 0.03437; 0.04592
83.7; 6.484; 12.94; -0.00034; -0.31648; 0.07043; 0.00079
86.8; 6.726; 12.74; 0.02034; -0.35245; 0.04384; -0.03774
89.9; 6.970; 12.59; 0.03769; -0.34306; -0.01356; -0.05651
93.0; 7.216; 12.59; 0.04825; -0.31586; -0.05220; -0.05329
96.1; 7.462; 12.59; 0.05402; -0.30426; -0.03632; -0.04009
99.2; 7.709; 12.59; 0.05795; -0.30225; 0.02007; -0.04026
102.3; 7.955; 12.59; 0.05770; -0.23523; 0.05117; -0.06149
105.4; 8.197; 12.98; 0.02888; 0.13142; -0.00058; -0.05794
108.5; 8.439; 12.71; 0.00168; 0.36322; -0.06174; -0.00848
111.6; 8.683; 12.74; -0.02186; 0.37242; -0.04945; 0.03678
114.7; 8.926; 12.74; -0.04036; 0.35452; 0.00444; 0.05943
117.8; 9.169; 12.74; -0.05401; 0.33274; 0.04566; 0.06125
120.9; 9.412; 12.74; -0.06361; 0.31761; 0.04136; 0.05584
124.0; 9.655; 12.74; -0.06941; 0.28706; 0.00652; 0.05934
127.1; 9.899; 12.75; -0.06479; 0.18099; -0.00591; 0.07150
130.2; 10.138; 13.15; -0.02906; -0.14487; 0.05014; 0.05534
133.3; 10.376; 12.89; -0.00160; -0.31848; 0.09964; 0.00370
136.4; 10.619; 12.69; 0.01981; -0.35756; 0.07026; -0.03995
