# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
139.5; 10.864; 12.59; 0.03717; -0.34344; 0.00372; -0.05819
142.6; 11.110; 12.59; 0.04785; -0.31659; -0.03759; -0.05310
145.7; 11.356; 12.59; 0.05376; -0.30475; -0.02587; -0.04343
148.8; 11.603; 12.59; 0.05784; -0.30379; 0.01141; -0.04807
151.9; 11.849; 12.59; 0.05821; -0.24188; 0.02060; -0.06639
155.0; 12.092; 12.96; 0.03038; 0.11798; -0.02993; -0.05410
158.1; 12.332; 12.79; 0.00299; 0.35459; -0.05978; 0.00433
161.2; 12.575; 12.83; -0.02055; 0.37311; -0.00026; 0.04942
164.3; 12.816; 12.83; -0.03956; 0.35427; 0.08011; 0.06019
167.4; 13.057; 12.83; -0.05334; 0.33007; 0.10192; 0.04746
170.5; 13.298; 12.83; -0.06267; 0.31420; 0.04537; 0.03624
173.6; 13.540; 12.83; -0.06835; 0.28825; -0.04308; 0.04314
176.7; 13.781; 12.84; -0.06521; 0.19759; -0.09212; 0.06356
179.8; 14.020; 13.17; -0.03268; -0.11166; -0.04830; 0.06103
182.9; 14.257; 12.94; -0.00416; -0.30219; 0.02695; 0.01984
186.0; 14.499; 12.73; 0.01698; -0.35204; 0.04764; -0.01929
189.1; 14.745; 12.55; 0.03543; -0.34841; 0.03386; -0.04210
192.2; 14.992; 12.55; 0.04686; -0.31892; 0.01904; -0.05059
195.3; 15.239; 12.55; 0.05304; -0.30628; 0.01435; -0.05357
198.4; 15.486; 12.55; 0.05734; -0.30666; 0.01206; -0.05985
201.5; 15.733; 12.55; 0.05848; -0.25109; -0.00572; -0.07100
204.6; 15.977; 12.89; 0.03210; 0.09935; -0.05804; -0.05434
207.7; 16.218; 12.86; 0.00452; 0.34346; -0.08332; 0.00351
210.8; 16.458; 12.90; -0.01892; 0.37423; -0.02554; 0.04588
213.9; 16.699; 12.91; -0.03855; 0.35462; 0.04928; 0.05912
217.0; 16.938; 12.90; -0.05258; 0.32858; 0.08437; 0.05641
220.1; 17.178; 12.90; -0.06187; 0.31262; 0.07269; 0.05299
223.2; 17.418; 12.90; -0.06760; 0.28869; 0.03516; 0.05505
226.3; 17.658; 12.91; -0.06526; 0.20527; 0.00395; 0.06167
229.4; 17.896; 13.20; -0.03486; -0.09129; 0.02063; 0.04970
232.5; 18.133; 12.98; -0.00563; -0.29333; 0.05054; 0.00692
235.6; 18.374; 12.77; 0.01562; -0.35125; 0.03109; -0.02885
238.7; 18.618; 12.58; 0.03442; -0.34976; -0.01002; -0.04819
241.8; 18.864; 12.59; 0.04626; -0.31961; -0.04166; -0.05356
244.9; 19.110; 12.59; 0.05268; -0.30594; -0.04793; -0.04978
248.0; 19.356; 12.58; 0.05709; -0.30664; -0.02589; -0.04771
251.1; 19.603; 12.59; 0.05865; -0.25557; -0.00123; -0.05738
254.2; 19.846; 12.89; 0.03370; 0.08210; -0.02076; -0.05021
257.3; 20.086; 12.92; 0.00564; 0.33454; -0.04719; -0.00340
260.4; 20.326; 12.97; -0.01772; 0.37442; -0.01547; 0.03520
263.5; 20.565; 12.97; -0.03774; 0.35441; 0.03574; 0.05402
266.6; 20.803; 12.97; -0.05188; 0.32644; 0.07008; 0.05888
269.7; 21.042; 12.97; -0.06097; 0.31021; 0.07242; 0.05647
272.8; 21.281; 12.97; -0.06666; 0.28983; 0.04341; 0.05502
275.9; 21.520; 12.97; -0.06544; 0.21786; 0.01146; 0.06107
279.0; 21.756; 13.21; -0.03864; -0.05546; 0.02720; 0.05472
282.1; 21.994; 12.94; -0.00828; -0.27950; 0.06690; 0.01330
285.2; 22.235; 12.71; 0.01317; -0.35085; 0.05078; -0.02830
288.3; 22.481; 12.53; 0.03243; -0.35375; -0.00337; -0.05158
291.4; 22.728; 12.53; 0.04492; -0.32310; -0.04824; -0.05452
294.5; 22.975; 12.53; 0.05176; -0.30808; -0.05395; -0.04686
297.6; 23.222; 12.53; 0.05642; -0.30937; -0.02473; -0.04534
300.7; 23.470; 12.53; 0.05859; -0.26330; 0.00108; -0.05803
303.8; 23.715; 12.81; 0.03520; 0.06268; -0.02211; -0.05330
306.9; 23.955; 12.94; 0.00683; 0.32412; -0.05246; -0.00476
310.0; 24.194; 12.99; -0.01632; 0.37526; -0.01490; 0.03739
313.1; 24.433; 13.00; -0.03679; 0.35567; 0.04799; 0.05587
316.2; 24.671; 13.00; -0.05120; 0.32608; 0.08247; 0.05505
319.3; 24.909; 12.99; -0.06029; 0.30945; 0.06692; 0.04841
322.4; 25.147; 12.99; -0.06605; 0.29149; 0.01720; 0.04954
325.5; 25.386; 13.00; -0.06577; 0.22858; -0.02100; 0.06202
328.6; 25.623; 13.17; -0.04240; -0.01942; 0.00219; 0.06255
331.7; 25.861; 12.88; -0.01107; -0.26248; 0.06001; 0.02274
334.8; 26.104; 12.64; 0.01057; -0.34922; 0.05712; -0.02413
337.9; 26.351; 12.46; 0.03022; -0.35829; 0.00077; -0.05135
341.0; 26.600; 12.46; 0.04351; -0.32850; -0.04688; -0.05184
344.1; 26.848; 12.46; 0.05107; -0.31162; -0.03968; -0.03990
347.2; 27.097; 12.46; 0.05602; -0.31035; 0.00881; -0.04046
350.3; 27.345; 12.46; 0.05845; -0.27042; 0.03630; -0.06158
353.4; 27.592; 12.69; 0.03751; 0.02561; -0.01155; -0.06739
356.5; 27.835; 12.85; 0.00875; 0.31387; -0.08222; -0.01882
359.6; 28.076; 12.91; -0.01442; 0.37967; -0.06745; 0.03346
362.7; 28.316; 12.91; -0.03582; 0.36222; 0.00385; 0.06146
365.8; 28.556; 12.91; -0.05119; 0.33167; 0.06326; 0.06356
368.9; 28.796; 12.91; -0.06102; 0.31392; 0.07139; 0.05601
372.0; 29.035; 12.91; -0.06718; 0.29262; 0.03947; 0.05527
375.1; 29.275; 12.91; -0.06677; 0.22897; 0.01007; 0.06353
378.2; 29.514; 13.08; -0.04353; -0.00937; 0.02755; 0.05971
381.3; 29.753; 12.90; -0.01153; -0.25928; 0.07030; 0.01798
384.4; 29.995; 12.67; 0.01031; -0.35148; 0.05455; -0.02596
387.5; 30.242; 12.49; 0.03036; -0.35837; 0.00113; -0.04772
390.6; 30.490; 12.49; 0.04353; -0.32506; -0.03157; -0.04769
393.7; 30.738; 12.49; 0.05048; -0.30744; -0.02148; -0.04228
396.8; 30.986; 12.49; 0.05492; -0.31027; 0.00710; -0.04767
399.9; 31.234; 12.49; 0.05767; -0.27420; 0.01252; -0.06509
403.0; 31.480; 12.71; 0.03776; 0.01966; -0.03402; -0.06262
406.1; 31.722; 12.96; 0.00891; 0.29632; -0.08318; -0.01113
409.2; 31.961; 13.02; -0.01311; 0.37326; -0.04561; 0.03762
412.3; 32.199; 13.03; -0.03429; 0.36105; 0.03407; 0.05979
415.4; 32.437; 13.03; -0.04993; 0.33133; 0.08795; 0.06007
418.5; 32.674; 13.02; -0.06004; 0.31266; 0.09152; 0.05440
421.6; 32.912; 13.02; -0.06634; 0.29122; 0.05727; 0.05246
424.7; 33.150; 13.02; -0.06631; 0.23161; 0.01453; 0.05622
427.8; 33.386; 13.16; -0.04530; 0.01258; 0.00611; 0.05286
430.9; 33.623; 13.06; -0.01292; -0.24366; 0.03229; 0.01801
434.0; 33.863; 12.82; 0.00905; -0.34566; 0.02172; -0.02056
437.1; 34.106; 12.63; 0.02921; -0.35705; -0.01842; -0.04351
440.2; 34.351; 12.64; 0.04286; -0.32477; -0.05113; -0.05056
443.3; 34.596; 12.64; 0.05028; -0.30567; -0.05870; -0.04828
446.4; 34.841; 12.63; 0.05492; -0.30720; -0.04001; -0.04613
449.5; 35.086; 12.63; 0.05803; -0.27733; -0.01190; -0.05268
452.6; 35.330; 12.79; 0.04202; -0.02665; -0.01200; -0.05215
455.7; 35.570; 13.06; 0.01139; 0.27281; -0.03540; -0.01217
458.8; 35.809; 12.87; -0.01239; 0.37848; -0.00825; 0.02990
461.9; 36.050; 12.88; -0.03354; 0.35694; 0.04784; 0.05221
465.0; 36.290; 12.88; -0.04830; 0.33352; 0.08862; 0.05680
468.1; 36.531; 12.87; -0.05846; 0.31739; 0.09172; 0.05300
471.2; 36.771; 12.87; -0.06537; 0.29993; 0.05458; 0.04925
474.3; 37.012; 12.87; -0.06701; 0.24985; 0.00326; 0.05475
477.4; 37.252; 12.96; -0.05030; 0.05655; -0.00514; 0.06137
480.5; 37.494; 12.60; -0.01774; -0.22692; 0.04676; 0.03601
483.6; 37.743; 12.35; 0.00523; -0.35243; 0.07393; -0.00741
486.7; 37.996; 12.16; 0.02625; -0.37306; 0.04751; -0.04131
489.8; 38.251; 12.16; 0.04144; -0.34275; 0.00277; -0.05459
492.9; 38.506; 12.17; 0.05026; -0.31922; -0.01402; -0.04741
496.0; 38.761; 12.17; 0.05456; -0.30313; 0.02264; -0.03643
499.1; 39.016; 12.17; 0.05475; -0.27427; 0.07593; -0.04504
502.2; 39.269; 12.33; 0.03722; -0.05102; 0.06031; -0.06287
505.3; 39.518; 12.60; 0.01125; 0.29349; -0.02659; -0.03792
508.4; 39.764; 12.66; -0.01114; 0.38544; -0.09031; -0.00206
511.5; 40.009; 12.68; -0.03148; 0.33748; -0.12359; 0.02762
514.6; 40.253; 12.70; -0.04017; 0.28374; -0.11042; 0.05643
517.7; 40.495; 12.98; -0.02623; -0.00105; -0.04108; 0.05466
520.8; 40.730; 13.42; -0.00527; -0.05107; 0.04654; 0.02831
523.9; 40.957; 13.82; 0.00013; -0.04204; 0.09627; 0.00895
527.0; 41.179; 14.20; 0.00115; -0.05268; 0.10662; -0.00234
530.1; 41.394; 14.54; 0.00200; -0.08228; 0.09117; -0.00957
533.2; 41.606; 14.83; 0.00386; -0.12531; 0.05970; -0.01560
536.3; 41.813; 15.06; 0.00727; -0.17195; 0.01821; -0.02150
539.4; 42.018; 15.22; 0.01230; -0.20955; -0.02671; -0.02649
542.5; 42.221; 15.33; 0.01835; -0.23205; -0.06656; -0.02980
545.6; 42.422; 15.41; 0.02445; -0.24118; -0.09546; -0.03213
548.7; 42.623; 15.47; 0.02980; -0.24193; -0.11349; -0.03439
551.8; 42.822; 15.52; 0.03400; -0.23914; -0.12377; -0.03652
554.9; 43.021; 15.55; 0.03709; -0.23612; -0.12895; -0.03825
558.0; 43.220; 15.58; 0.03932; -0.23323; -0.13059; -0.03944
561.1; 43.419; 15.60; 0.04085; -0.23017; -0.12924; -0.03998
564.2; 43.617; 15.63; 0.04180; -0.22813; -0.12495; -0.03996
567.3; 43.815; 15.65; 0.04242; -0.22723; -0.11785; -0.03975
570.4; 44.012; 15.67; 0.04290; -0.22714; -0.10866; -0.03974
573.5; 44.210; 15.68; 0.04339; -0.22747; -0.09864; -0.04017
576.6; 44.407; 15.70; 0.04392; -0.22796; -0.08903; -0.04103
579.7; 44.604; 15.71; 0.04452; -0.22842; -0.08091; -0.04225
582.8; 44.801; 15.73; 0.04516; -0.22874; -0.07506; -0.04373
585.9; 44.998; 15.74; 0.04581; -0.22883; -0.07202; -0.04534
589.0; 45.195; 15.75; 0.04644; -0.22871; -0.07203; -0.04696
592.1; 45.391; 15.76; 0.04701; -0.22846; -0.07505; -0.04846
595.2; 45.588; 15.77; 0.04752; -0.22820; -0.08073; -0.04974
598.3; 45.784; 15.78; 0.04797; -0.22815; -0.08844; -0.05071
601.4; 45.980; 15.78; 0.04840; -0.22820; -0.09728; -0.05133
604.5; 46.176; 15.79; 0.04880; -0.22797; -0.10604; -0.05148
607.6; 46.372; 15.79; 0.04916; -0.22776; -0.11323; -0.05108
610.7; 46.568; 15.80; 0.04948; -0.22771; -0.11736; -0.05018
613.8; 46.764; 15.80; 0.04978; -0.22776; -0.11739; -0.04913
616.9; 46.960; 15.80; 0.05008; -0.22785; -0.11354; -0.04834
620.0; 47.156; 15.81; 0.05038; -0.22788; -0.10706; -0.04804
623.1; 47.352; 15.81; 0.05066; -0.22777; -0.09949; -0.04821
626.2; 47.548; 15.81; 0.05091; -0.22746; -0.09218; -0.04872
629.3; 47.743; 15.81; 0.05109; -0.22698; -0.08620; -0.04947
632.4; 47.939; 15.81; 0.05118; -0.22654; -0.08232; -0.05033
635.5; 48.135; 15.82; 0.05122; -0.22656; -0.08106; -0.05126
638.6; 48.331; 15.82; 0.05127; -0.22680; -0.08259; -0.05221
641.7; 48.527; 15.82; 0.05134; -0.22661; -0.08673; -0.05305
644.8; 48.722; 15.82; 0.05138; -0.22631; -0.09295; -0.05365
647.9; 48.918; 15.82; 0.05137; -0.22616; -0.10048; -0.05390
651.0; 49.114; 15.82; 0.05135; -0.22621; -0.10824; -0.05375
654.1; 49.309; 15.82; 0.05135; -0.22643; -0.11489; -0.05315
657.2; 49.505; 15.82; 0.05139; -0.22674; -0.11893; -0.05214
660.3; 49.700; 15.83; 0.05149; -0.22708; -0.11926; -0.05096
663.4; 49.896; 15.83; 0.05164; -0.22737; -0.11587; -0.05005
666.5; 50.091; 15.83; 0.05182; -0.22754; -0.10989; -0.04965
669.6; 50.287; 15.83; 0.05202; -0.22753; -0.10287; -0.04974
672.7; 50.483; 15.83; 0.05219; -0.22728; -0.09616; -0.05020
675.8; 50.678; 15.83; 0.05230; -0.22682; -0.09083; -0.05090
678.9; 50.874; 15.83; 0.05232; -0.22632; -0.08766; -0.05170
682.0; 51.070; 15.82; 0.05228; -0.22619; -0.08711; -0.05255
685.1; 51.265; 15.82; 0.05223; -0.22650; -0.08934; -0.05339
688.2; 51.461; 15.82; 0.05223; -0.22661; -0.09414; -0.05415
691.3; 51.656; 15.82; 0.05224; -0.22633; -0.10091; -0.05465
694.4; 51.852; 15.82; 0.05219; -0.22598; -0.10873; -0.05476
697.5; 52.048; 15.82; 0.05208; -0.22570; -0.11640; -0.05438
700.6; 52.243; 15.82; 0.05194; -0.22541; -0.12243; -0.05343
703.7; 52.439; 15.83; 0.05175; -0.22499; -0.12509; -0.05188
706.8; 52.634; 15.83; 0.05149; -0.22432; -0.12292; -0.04993
709.9; 52.830; 15.83; 0.05114; -0.22347; -0.11559; -0.04801
713.0; 53.025; 15.83; 0.05068; -0.22294; -0.10421; -0.04651
716.1; 53.221; 15.84; 0.05023; -0.22384; -0.09061; -0.04567
719.2; 53.416; 15.84; 0.05001; -0.22545; -0.07664; -0.04560
722.3; 53.612; 15.84; 0.05003; -0.22631; -0.06381; -0.04621
725.4; 53.807; 15.85; 0.05023; -0.22753; -0.05340; -0.04739
728.5; 54.003; 15.85; 0.05065; -0.22950; -0.04659; -0.04916
731.6; 54.198; 15.85; 0.05140; -0.23192; -0.04435; -0.05152
734.7; 54.394; 15.85; 0.05249; -0.23392; -0.04731; -0.05437
737.8; 54.589; 15.84; 0.05377; -0.23407; -0.05569; -0.05740
740.9; 54.785; 15.84; 0.05481; -0.22975; -0.06911; -0.05992
744.0; 54.980; 15.84; 0.05462; -0.21546; -0.08614; -0.06050
747.1; 55.176; 15.85; 0.05103; -0.17824; -0.10333; -0.05598
750.2; 55.372; 15.65; 0.04464; -0.13690; -0.11140; -0.04465
753.3; 55.572; 15.36; 0.03280; -0.05903; -0.10111; -0.02602
756.4; 55.777; 14.94; 0.01717; 0.01594; -0.06936; -0.00318
759.5; 55.988; 14.45; 0.00532; 0.03526; -0.02094; 0.01142
762.6; 56.206; 13.96; 0.00004; 0.03326; 0.02333; 0.01059
765.7; 56.432; 13.47; -0.00148; 0.02830; 0.04079; 0.00294
768.8; 56.667; 12.93; -0.00150; -0.00796; 0.03885; 0.00270
771.9; 56.911; 12.48; -0.00038; -0.13930; 0.04385; 0.00695
775.0; 57.162; 12.20; 0.00553; -0.31430; 0.06309; 0.00259
778.1; 57.419; 12.01; 0.02307; -0.39662; 0.08990; -0.01692
781.2; 57.677; 12.01; 0.04157; -0.35181; 0.09246; -0.05460
784.3; 57.933; 12.22; 0.02955; 0.06594; 0.02731; -0.06497
787.4; 58.190; 11.94; 0.00567; 0.38701; -0.04978; -0.01766
790.5; 58.450; 11.96; -0.02025; 0.40412; -0.05896; 0.02675
793.6; 58.709; 11.96; -0.04378; 0.41306; -0.03117; 0.05646
796.7; 58.968; 11.97; -0.06558; 0.37559; -0.00405; 0.07276
799.8; 59.227; 11.99; -0.07816; 0.30741; -0.00255; 0.07484
802.9; 59.486; 12.00; -0.07675; 0.23762; -0.01825; 0.07383
806.0; 59.743; 12.10; -0.05215; 0.03682; -0.00224; 0.06862
809.1; 59.995; 12.48; -0.01319; -0.19701; 0.06664; 0.03336
812.2; 60.243; 12.63; 0.00257; -0.31384; 0.08927; -0.00708
815.3; 60.488; 12.68; 0.01887; -0.35509; 0.05378; -0.03641
818.4; 60.732; 12.69; 0.03495; -0.34668; 0.00130; -0.05148
821.5; 60.977; 12.69; 0.04701; -0.32410; -0.03209; -0.05225
824.6; 61.221; 12.69; 0.05438; -0.30415; -0.02392; -0.04532
827.7; 61.465; 12.69; 0.05774; -0.28552; 0.01382; -0.04669
830.8; 61.709; 12.72; 0.05172; -0.16994; 0.02680; -0.06009
833.9; 61.950; 13.00; 0.02108; 0.19289; -0.02203; -0.04134
837.0; 62.191; 12.75; -0.00380; 0.37347; -0.05049; 0.00715
840.1; 62.434; 12.77; -0.02645; 0.36583; -0.01815; 0.04390
843.2; 62.677; 12.77; -0.04336; 0.34777; 0.03281; 0.05818
846.3; 62.919; 12.77; -0.05583; 0.32793; 0.05372; 0.05445
849.4; 63.162; 12.77; -0.06450; 0.31132; 0.01918; 0.04619
852.5; 63.405; 12.77; -0.06853; 0.27023; -0.04717; 0.04940
855.6; 63.647; 12.80; -0.05831; 0.12501; -0.08028; 0.06116
858.7; 63.886; 13.21; -0.02080; -0.18881; -0.03407; 0.04230
861.8; 64.123; 12.94; 0.00335; -0.33428; 0.00592; -0.00118
864.9; 64.364; 12.75; 0.02463; -0.36144; -0.01034; -0.03721
868.0; 64.608; 12.70; 0.04153; -0.34545; -0.04922; -0.05303
871.1; 64.852; 12.67; 0.05304; -0.31560; -0.05946; -0.04807
874.2; 65.096; 12.67; 0.05814; -0.28810; -0.01536; -0.03724
877.3; 65.341; 12.67; 0.05900; -0.28421; 0.05036; -0.04194
880.4; 65.586; 12.68; 0.05490; -0.20753; 0.07044; -0.06379
883.5; 65.828; 12.92; 0.02603; 0.15266; 0.00959; -0.05449
886.6; 66.071; 12.65; -0.00011; 0.37090; -0.04216; -0.00209
889.7; 66.316; 12.68; -0.02371; 0.37455; -0.01878; 0.03996
892.8; 66.560; 12.68; -0.04202; 0.35387; 0.02581; 0.05312
895.9; 66.805; 12.68; -0.05524; 0.33162; 0.02885; 0.04704
899.0; 67.049; 12.68; -0.06438; 0.31611; -0.02341; 0.04284
902.1; 67.294; 12.68; -0.06934; 0.28054; -0.08928; 0.05346
905.2; 67.538; 12.70; -0.06186; 0.15329; -0.10747; 0.07017
908.3; 67.779; 13.12; -0.02414; -0.17473; -0.04306; 0.05213
911.4; 68.018; 12.84; 0.00145; -0.33387; 0.01120; 0.00314
914.5; 68.261; 12.65; 0.02304; -0.36178; -0.00183; -0.03504
917.6; 68.506; 12.60; 0.03949; -0.34046; -0.03626; -0.04856
920.7; 68.752; 12.60; 0.04968; -0.31601; -0.04126; -0.04469
923.8; 68.998; 12.60; 0.05547; -0.30377; -0.00765; -0.04161
926.9; 69.244; 12.60; 0.05895; -0.29497; 0.03113; -0.05112
930.0; 69.490; 12.61; 0.05606; -0.20702; 0.03127; -0.06758
933.1; 69.732; 13.04; 0.02474; 0.16383; -0.02482; -0.04658
936.2; 69.972; 12.78; -0.00125; 0.37083; -0.04625; 0.01019
939.3; 70.215; 12.81; -0.02467; 0.36938; 0.00596; 0.04716
942.4; 70.456; 12.81; -0.04244; 0.34999; 0.05969; 0.05381
945.5; 70.698; 12.81; -0.05542; 0.32890; 0.06205; 0.04781
948.6; 70.940; 12.81; -0.06448; 0.31339; 0.01722; 0.04664
951.7; 71.182; 12.81; -0.06945; 0.27879; -0.03842; 0.05503
954.8; 71.424; 12.82; -0.06265; 0.15878; -0.06245; 0.06539
957.9; 71.662; 13.25; -0.02555; -0.16477; -0.02231; 0.04492
961.0; 71.899; 12.96; 0.00069; -0.32896; 0.00831; -0.00198
964.1; 72.140; 12.76; 0.02231; -0.35755; -0.01533; -0.03519
967.2; 72.383; 12.67; 0.03925; -0.33980; -0.04743; -0.04716
970.3; 72.627; 12.67; 0.04948; -0.31346; -0.05358; -0.04692
973.4; 72.872; 12.67; 0.05507; -0.30160; -0.03182; -0.04513
976.5; 73.116; 12.67; 0.05864; -0.29695; 0.00129; -0.04939
979.6; 73.361; 12.67; 0.05717; -0.22112; 0.01657; -0.06104
982.7; 73.602; 13.09; 0.02709; 0.14944; -0.01611; -0.04381
985.8; 73.841; 12.82; 0.00010; 0.36732; -0.03289; 0.00680
988.9; 74.083; 12.85; -0.02355; 0.36965; 0.00677; 0.04121
992.0; 74.324; 12.86; -0.04170; 0.35116; 0.05124; 0.05335
995.1; 74.564; 12.85; -0.05508; 0.32983; 0.06645; 0.05479
998.2; 74.805; 12.85; -0.06450; 0.31444; 0.04573; 0.05303
1001.3; 75.046; 12.85; -0.06999; 0.28188; -0.00180; 0.05397
1004.4; 75.287; 12.87; -0.06457; 0.17092; -0.04160; 0.05992
1007.5; 75.525; 13.27; -0.02825; -0.15342; -0.02241; 0.04342
1010.6; 75.761; 12.97; -0.00072; -0.32219; 0.00575; 0.00148
1013.7; 76.002; 12.77; 0.02083; -0.35634; -0.00873; -0.03085
1016.8; 76.245; 12.67; 0.03798; -0.34104; -0.03752; -0.04720
1019.9; 76.490; 12.68; 0.04851; -0.31466; -0.05366; -0.05008
1023.0; 76.734; 12.67; 0.05435; -0.30254; -0.04078; -0.04501
1026.1; 76.978; 12.67; 0.05823; -0.29962; -0.00147; -0.04509
1029.2; 77.223; 12.68; 0.05792; -0.23413; 0.02525; -0.05951
1032.3; 77.464; 13.05; 0.02955; 0.12557; -0.01119; -0.05201
1035.4; 77.704; 12.78; 0.00204; 0.36164; -0.05274; -0.00353
1038.5; 77.947; 12.81; -0.02169; 0.37207; -0.02913; 0.03852
1041.6; 78.189; 12.81; -0.04039; 0.35446; 0.02705; 0.05962
1044.7; 78.430; 12.81; -0.05424; 0.33218; 0.06830; 0.06126
1047.8; 78.672; 12.81; -0.06393; 0.31620; 0.05915; 0.05226
1050.9; 78.914; 12.81; -0.06962; 0.28401; 0.00191; 0.04896
1054.0; 79.156; 12.82; -0.06459; 0.17607; -0.04965; 0.05787
1057.1; 79.394; 13.21; -0.02877; -0.14485; -0.02924; 0.04669
1060.2; 79.630; 13.06; -0.00167; -0.30974; 0.01085; 0.00634
1063.3; 79.869; 12.85; 0.01926; -0.34996; 0.00402; -0.02877
1066.4; 80.112; 12.67; 0.03731; -0.34474; -0.02833; -0.04867
1069.5; 80.356; 12.67; 0.04853; -0.31721; -0.04988; -0.05050
1072.6; 80.601; 12.67; 0.05484; -0.30453; -0.03242; -0.04276
1075.7; 80.845; 12.67; 0.05897; -0.29893; 0.01479; -0.04458
1078.8; 81.090; 12.67; 0.05907; -0.24287; 0.03848; -0.06338
1081.9; 81.332; 12.99; 0.03299; 0.08416; -0.01168; -0.06154
1085.0; 81.574; 12.68; 0.00502; 0.35129; -0.06883; -0.00916
1088.1; 81.818; 12.72; -0.01887; 0.37798; -0.04027; 0.04069
1091.2; 82.061; 12.73; -0.03871; 0.36062; 0.03295; 0.06234
1094.3; 82.305; 12.73; -0.05337; 0.33594; 0.07744; 0.05798
1097.4; 82.548; 12.72; -0.06347; 0.31945; 0.05448; 0.04703
1100.5; 82.791; 12.73; -0.06956; 0.28864; -0.01087; 0.04927
1103.6; 83.035; 12.74; -0.06537; 0.18557; -0.05226; 0.06409
1106.7; 83.275; 13.11; -0.03015; -0.13479; -0.01344; 0.05388
1109.8; 83.512; 13.06; -0.00274; -0.30306; 0.03856; 0.00857
1112.9; 83.751; 12.85; 0.01813; -0.35057; 0.02704; -0.03106
1116.0; 83.994; 12.67; 0.03650; -0.34620; -0.01645; -0.05067
1119.1; 84.239; 12.67; 0.04798; -0.31790; -0.04224; -0.05032
1122.2; 84.483; 12.67; 0.05440; -0.30472; -0.02708; -0.04445
1125.3; 84.728; 12.67; 0.05859; -0.29990; 0.00782; -0.04945
1128.4; 84.972; 12.67; 0.05902; -0.24643; 0.01700; -0.06613
