# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.01269; 10.1; -1985.8; -587.8
3.1; 0.200; 0.00790; 8.3; -2417.7; -157.5
6.2; 0.406; 0.00128; 8.0; -2485.2; -65.5
9.3; 0.618; -0.00227; 8.2; -2449.4; -116.3
12.4; 0.837; 0.00153; 7.9; -2515.4; 0.0
15.5; 1.065; 0.02243; 10.3; -1950.7; 724.9
18.6; 1.301; 0.04366; 19.4; -1031.2; 1511.6
21.7; 1.544; 0.04153; 37.7; -529.9; 1815.5
24.8; 1.791; 0.01882; 478.9; -0.0; 1813.9
27.9; 2.040; -0.02670; 1480.3; -0.4; 911.7
31.0; 2.287; -0.06172; 14.9; -1338.5; -1346.2
34.1; 2.535; -0.05084; 35.2; -567.2; -1799.7
37.2; 2.789; -0.02648; 473.9; -0.0; -1832.4
40.3; 3.044; -0.00775; 494.9; -0.0; -1796.7
43.4; 3.299; 0.00389; 526.4; -0.0; -1775.6
46.5; 3.554; 0.01532; 545.6; -0.0; -1713.8
49.6; 3.809; 0.02885; 577.6; -0.0; -1459.8
52.7; 4.064; 0.04324; 2469.5; -0.0; 247.3
55.8; 4.314; 0.05537; 1119.6; -0.0; 1553.4
58.9; 4.558; 0.04316; 635.3; -0.0; 1794.7
62.0; 4.801; 0.02492; 495.8; -0.0; 1822.0
65.1; 5.042; 0.00906; 482.7; -0.0; 1804.7
68.2; 5.284; -0.00288; 502.4; -0.0; 1781.4
71.3; 5.526; -0.01350; 520.6; -0.0; 1726.8
74.4; 5.767; -0.02542; 564.7; -0.0; 1516.7
77.5; 6.009; -0.03990; 2518.8; -0.0; 66.3
80.6; 6.247; -0.04903; 2.1; -1220.1; -1389.6
83.7; 6.484; -0.03893; 30.5; -655.1; -1720.1
86.8; 6.726; -0.02171; 55.6; -353.3; -1767.5
89.9; 6.970; -0.00855; 489.5; -0.0; -1771.1
93.0; 7.216; -0.00141; 493.1; -0.0; -1761.4
96.1; 7.462; 0.00259; 499.0; -0.0; -1761.9
99.2; 7.709; 0.01362; 523.7; -0.0; -1631.3
102.3; 7.955; 0.04072; 2364.6; -0.0; -213.8
105.4; 8.197; 0.05852; 0.3; -1050.5; 1533.4
108.5; 8.439; 0.04298; 586.0; -0.0; 1817.9
111.6; 8.683; 0.02239; 481.0; -0.0; 1829.1
114.7; 8.926; 0.00549; 488.5; -0.0; 1802.6
117.8; 9.169; -0.00629; 516.2; -0.0; 1780.1
120.9; 9.412; -0.01710; 537.0; -0.0; 1726.1
124.0; 9.655; -0.02911; 549.4; -0.0; 1529.6
127.1; 9.899; -0.04244; 2412.1; -0.0; 166.6
130.2; 10.138; -0.05048; 0.3; -973.2; -1383.0
133.3; 10.376; -0.04028; 30.8; -649.6; -1727.3
136.4; 10.619; -0.02266; 113.4; -174.4; -1777.8
139.5; 10.864; -0.00907; 489.5; -0.0; -1772.2
142.6; 11.110; -0.00174; 492.8; -0.0; -1762.0
145.7; 11.356; 0.00223; 498.6; -0.0; -1764.6
148.8; 11.603; 0.01308; 519.9; -0.0; -1644.2
151.9; 11.849; 0.03990; 2249.7; -0.0; -318.1
155.0; 12.092; 0.05856; 0.1; -499.5; 1507.5
158.1; 12.332; 0.04434; 603.6; -0.0; 1816.7
161.2; 12.575; 0.02305; 483.9; -0.0; 1829.5
164.3; 12.816; 0.00567; 487.0; -0.0; 1800.5
167.4; 13.057; -0.00589; 511.1; -0.0; 1778.7
170.5; 13.298; -0.01575; 531.0; -0.0; 1733.8
173.6; 13.540; -0.02695; 539.8; -0.0; 1566.6
176.7; 13.781; -0.04036; 2128.0; -0.0; 418.6
179.8; 14.020; -0.04965; 0.3; -860.9; -1280.8
182.9; 14.257; -0.04178; 28.2; -708.6; -1697.6
186.0; 14.499; -0.02447; 39.4; -506.7; -1763.9
189.1; 14.745; -0.01037; 489.6; -0.0; -1773.0
192.2; 14.992; -0.00267; 492.1; -0.0; -1762.6
195.3; 15.239; 0.00126; 497.6; -0.0; -1768.0
198.4; 15.486; 0.01190; 515.9; -0.0; -1660.2
201.5; 15.733; 0.03858; 2098.5; -0.0; -444.9
204.6; 15.977; 0.05849; 200.9; -0.1; 1469.8
207.7; 16.218; 0.04609; 625.1; -0.0; 1814.6
210.8; 16.458; 0.02402; 487.6; -0.0; 1830.1
213.9; 16.699; 0.00614; 485.7; -0.0; 1800.0
217.0; 16.938; -0.00532; 507.3; -0.0; 1779.4
220.1; 17.178; -0.01488; 526.9; -0.0; 1738.3
223.2; 17.418; -0.02579; 535.9; -0.0; 1584.5
226.3; 17.658; -0.03921; 1948.6; -0.0; 556.6
229.4; 17.896; -0.04920; 0.3; -823.2; -1217.3
232.5; 18.133; -0.04278; 27.2; -735.8; -1686.6
235.6; 18.374; -0.02564; 39.1; -511.4; -1765.1
238.7; 18.618; -0.01103; 490.0; -0.0; -1774.5
241.8; 18.864; -0.00295; 491.8; -0.0; -1762.9
244.9; 19.110; 0.00100; 496.5; -0.0; -1769.6
248.0; 19.356; 0.01132; 513.9; -0.0; -1670.3
251.1; 19.603; 0.03739; 1954.4; -0.0; -556.4
254.2; 19.846; 0.05795; 486.2; -0.1; 1425.2
257.3; 20.086; 0.04725; 644.1; -0.0; 1811.2
260.4; 20.326; 0.02471; 491.5; -0.0; 1829.9
263.5; 20.565; 0.00644; 485.2; -0.0; 1798.1
266.6; 20.803; -0.00479; 503.6; -0.0; 1778.6
269.7; 21.042; -0.01367; 522.1; -0.0; 1744.6
