# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
257.3; 13.818; 18.98; 0.00471; 0.47377; -0.04417; -0.00293
260.4; 13.981; 18.94; -0.01731; 0.53405; -0.01547; 0.03332
263.5; 14.145; 18.86; -0.03643; 0.51233; 0.03079; 0.05103
266.6; 14.310; 18.77; -0.05054; 0.48386; 0.06102; 0.05666
269.7; 14.475; 18.68; -0.06083; 0.46793; 0.06212; 0.05667
272.8; 14.641; 18.59; -0.06830; 0.44109; 0.03617; 0.05864
275.9; 14.808; 18.51; -0.06873; 0.34181; 0.01402; 0.06904
279.0; 14.974; 18.99; -0.03201; -0.15849; 0.05566; 0.05715
282.1; 15.137; 18.94; -0.00468; -0.43346; 0.10460; 0.00730
285.2; 15.301; 18.80; 0.01584; -0.52088; 0.07592; -0.03606
288.3; 15.467; 18.73; 0.03331; -0.50052; 0.00547; -0.05739
291.4; 15.633; 18.64; 0.04555; -0.46915; -0.05050; -0.05734
294.5; 15.799; 18.55; 0.05346; -0.45247; -0.05881; -0.04826
297.6; 15.966; 18.46; 0.05949; -0.45296; -0.02473; -0.04586
300.7; 16.135; 18.37; 0.06293; -0.39724; 0.01042; -0.05909
303.8; 16.301; 18.86; 0.03167; 0.12923; -0.01438; -0.05193
306.9; 16.465; 18.99; 0.00562; 0.44519; -0.04845; -0.00442
310.0; 16.629; 18.95; -0.01511; 0.52995; -0.01490; 0.03433
313.1; 16.792; 18.88; -0.03438; 0.51469; 0.04221; 0.05159
316.2; 16.957; 18.79; -0.04888; 0.48467; 0.07211; 0.05176
319.3; 17.122; 18.70; -0.05926; 0.46719; 0.05514; 0.04772
322.4; 17.288; 18.61; -0.06675; 0.44275; 0.00860; 0.05230
325.5; 17.455; 18.53; -0.06804; 0.35737; -0.01930; 0.06917
328.6; 17.621; 18.88; -0.03619; -0.09558; 0.02973; 0.06613
331.7; 17.785; 18.76; -0.00730; -0.40663; 0.10140; 0.01814
334.8; 17.952; 18.61; 0.01281; -0.51927; 0.08911; -0.03086
337.9; 18.119; 18.54; 0.03067; -0.50993; 0.01722; -0.05682
341.0; 18.286; 18.46; 0.04378; -0.47650; -0.04232; -0.05476
344.1; 18.454; 18.37; 0.05211; -0.45664; -0.04007; -0.04166
347.2; 18.623; 18.27; 0.05824; -0.45756; 0.00881; -0.04196
350.3; 18.794; 18.19; 0.06194; -0.40535; 0.03954; -0.06395
353.4; 18.962; 18.68; 0.03093; 0.12154; -0.01356; -0.06227
356.5; 19.127; 18.92; 0.00596; 0.40128; -0.08323; -0.01512
359.6; 19.291; 18.90; -0.01225; 0.52063; -0.06745; 0.03049
362.7; 19.455; 18.83; -0.03139; 0.51886; 0.00078; 0.05567
365.8; 19.620; 18.74; -0.04651; 0.48929; 0.05644; 0.05787
368.9; 19.786; 18.65; -0.05734; 0.47018; 0.06234; 0.05215
372.0; 19.952; 18.56; -0.06506; 0.44516; 0.03175; 0.05449
375.1; 20.120; 18.48; -0.06662; 0.36281; 0.01007; 0.06734
378.2; 20.286; 18.79; -0.03655; -0.07164; 0.04880; 0.06082
381.3; 20.451; 18.79; -0.00796; -0.37976; 0.10253; 0.01355
384.4; 20.617; 18.64; 0.01128; -0.51565; 0.07829; -0.03072
387.5; 20.784; 18.57; 0.02932; -0.51158; 0.01141; -0.05104
390.6; 20.951; 18.49; 0.04276; -0.47656; -0.03122; -0.04902
393.7; 21.119; 18.40; 0.05109; -0.45392; -0.02417; -0.04303
396.8; 21.288; 18.31; 0.05689; -0.45397; 0.00710; -0.04807
399.9; 21.457; 18.22; 0.06026; -0.40426; 0.01841; -0.06564
