# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
1119.1; 58.203; 18.68; 0.04602; -0.46754; -0.05520; -0.04765
1122.2; 58.369; 18.59; 0.05385; -0.45189; -0.03524; -0.04177
1125.3; 58.536; 18.50; 0.05979; -0.44987; 0.00782; -0.04780
1128.4; 58.704; 18.41; 0.06245; -0.38378; 0.02555; -0.06723
1131.5; 58.870; 18.90; 0.03005; 0.15133; -0.02666; -0.05735
1134.6; 59.034; 18.95; 0.00446; 0.47539; -0.06868; -0.00141
1137.7; 59.198; 18.91; -0.01748; 0.53349; -0.02243; 0.04223
1140.8; 59.362; 18.84; -0.03646; 0.51194; 0.04902; 0.05617
1143.9; 59.527; 18.75; -0.05048; 0.48394; 0.07741; 0.05004
1147.0; 59.692; 18.66; -0.06073; 0.46817; 0.04498; 0.04338
1150.1; 59.859; 18.57; -0.06818; 0.44133; -0.02066; 0.04692
1153.2; 60.026; 18.49; -0.06857; 0.34213; -0.07485; 0.05908
1156.3; 60.192; 18.95; -0.03218; -0.15134; -0.06406; 0.04734
1159.4; 60.356; 18.84; -0.00487; -0.42535; -0.04048; 0.00250
1162.5; 60.521; 18.69; 0.01493; -0.51401; -0.06615; -0.02629
1165.6; 60.687; 18.59; 0.03263; -0.51088; -0.07861; -0.02791
1168.7; 60.854; 18.51; 0.04615; -0.48381; -0.02252; -0.01747
1171.8; 61.022; 18.42; 0.05561; -0.46361; 0.08797; -0.01844
1174.9; 61.191; 18.33; 0.06198; -0.44335; 0.18577; -0.04148
1178.0; 61.361; 18.24; 0.06348; -0.38258; 0.19523; -0.08219
1181.1; 61.530; 18.59; 0.03406; 0.06855; 0.06284; -0.09920
1184.2; 61.697; 18.58; 0.00753; 0.42759; -0.12413; -0.05588
1187.3; 61.864; 18.55; -0.01269; 0.54127; -0.21728; 0.00225
1190.4; 62.032; 18.47; -0.03306; 0.53027; -0.20831; 0.04980
1193.5; 62.201; 18.38; -0.04864; 0.49686; -0.13577; 0.07823
1196.6; 62.370; 18.29; -0.05976; 0.48005; -0.04453; 0.08787
1199.7; 62.540; 18.20; -0.06804; 0.45570; 0.02250; 0.08322
1202.8; 62.711; 18.12; -0.06968; 0.36232; 0.04740; 0.07433
1205.9; 62.880; 18.61; -0.03304; -0.14200; 0.07062; 0.04393
1209.0; 63.046; 18.73; -0.00592; -0.40468; 0.06273; -0.01127
1212.1; 63.212; 18.58; 0.01332; -0.51909; -0.01765; -0.04453
1215.2; 63.379; 18.51; 0.03117; -0.51406; -0.09816; -0.05079
1218.3; 63.546; 18.43; 0.04515; -0.49037; -0.12151; -0.04251
1221.4; 63.714; 18.34; 0.05534; -0.47086; -0.08185; -0.03526
1224.5; 63.883; 18.25; 0.06248; -0.44985; -0.00661; -0.03772
1227.6; 64.054; 18.16; 0.06451; -0.38489; 0.05435; -0.05525
1230.7; 64.223; 18.57; 0.03317; 0.09565; 0.03354; -0.05652
1233.8; 64.389; 18.61; 0.00682; 0.44061; -0.01987; -0.01416
1236.9; 64.556; 18.57; -0.01395; 0.54670; -0.01109; 0.02629
1240.0; 64.724; 18.50; -0.03376; 0.51255; 0.02924; 0.04804
1243.1; 64.891; 18.42; -0.04594; 0.45752; 0.05823; 0.05082
1246.2; 65.060; 18.33; -0.05139; 0.43617; 0.05101; 0.04192
1249.3; 65.229; 18.23; -0.05493; 0.44721; 0.00411; 0.03653
1252.4; 65.400; 18.15; -0.05725; 0.40104; -0.04453; 0.05049
1255.5; 65.568; 18.65; -0.02713; -0.11765; -0.02005; 0.05080
1258.6; 65.734; 18.83; -0.00524; -0.43034; 0.03810; 0.01764
1261.7; 65.899; 18.80; 0.01417; -0.52895; 0.06152; -0.01189
1264.8; 66.064; 18.76; 0.02969; -0.43471; 0.06804; -0.03178
1267.9; 66.228; 19.07; 0.01956; -0.09663; 0.05549; -0.02633
1271.0; 66.388; 19.57; 0.00359; -0.09617; 0.02550; -0.01378
1274.1; 66.545; 20.06; 0.00201; 0.00345; 0.01075; -0.00181
1277.2; 66.698; 20.53; 0.00053; 0.03653; 0.02913; 0.01080
1280.3; 66.847; 21.00; -0.00074; -0.04155; 0.06542; 0.01215
1283.4; 66.993; 21.45; 0.00011; -0.14917; 0.08061; -0.00225
1286.5; 67.136; 21.88; 0.00278; -0.16561; 0.05204; -0.01821
1289.6; 67.277; 22.28; 0.00429; -0.17008; -0.00493; -0.02348
1292.7; 67.415; 22.49; 0.00667; -0.27910; -0.06395; -0.02380
1295.8; 67.552; 22.55; 0.01410; -0.36432; -0.10683; -0.02432
1298.9; 67.690; 22.55; 0.02361; -0.38237; -0.12326; -0.02507
1302.0; 67.827; 22.53; 0.03109; -0.36492; -0.11594; -0.02637
1305.1; 67.964; 22.50; 0.03517; -0.34475; -0.09684; -0.02861
1308.2; 68.102; 22.47; 0.03658; -0.33093; -0.07794; -0.03142
1311.3; 68.240; 22.43; 0.03639; -0.32288; -0.06601; -0.03385
1314.4; 68.378; 22.41; 0.03541; -0.31836; -0.06188; -0.03504
1317.5; 68.516; 22.38; 0.03411; -0.31568; -0.06299; -0.03492
1320.6; 68.655; 22.37; 0.03274; -0.31393; -0.06641; -0.03395
1323.7; 68.793; 22.36; 0.03144; -0.31280; -0.07049; -0.03275
1326.8; 68.932; 22.35; 0.03029; -0.31228; -0.07476; -0.03166
1329.9; 69.070; 22.35; 0.02936; -0.31251; -0.07917; -0.03076
1333.0; 69.209; 22.35; 0.02870; -0.31358; -0.08357; -0.03007
1336.1; 69.348; 22.36; 0.02833; -0.31536; -0.08775; -0.02960
1339.2; 69.486; 22.36; 0.02825; -0.31753; -0.09147; -0.02934
1342.3; 69.624; 22.36; 0.02841; -0.31959; -0.09450; -0.02928
1345.4; 69.763; 22.36; 0.02872; -0.32105; -0.09686; -0.02942
1348.5; 69.901; 22.36; 0.02908; -0.32159; -0.09885; -0.02973
1351.6; 70.040; 22.35; 0.02938; -0.32130; -0.10086; -0.03007
1354.7; 70.178; 22.35; 0.02956; -0.32046; -0.10307; -0.03030
1357.8; 70.317; 22.34; 0.02959; -0.31935; -0.10529; -0.03026
1360.9; 70.455; 22.34; 0.02950; -0.31846; -0.10698; -0.02986
1364.0; 70.594; 22.34; 0.02935; -0.31823; -0.10733; -0.02916
1367.1; 70.733; 22.34; 0.02923; -0.31859; -0.10569; -0.02836
1370.2; 70.871; 22.33; 0.02918; -0.31917; -0.10215; -0.02781
1373.3; 71.010; 22.33; 0.02919; -0.31962; -0.09757; -0.02767
1376.4; 71.148; 22.33; 0.02924; -0.31983; -0.09303; -0.02789
1379.5; 71.287; 22.33; 0.02928; -0.31975; -0.08944; -0.02834
1382.6; 71.426; 22.32; 0.02929; -0.31945; -0.08738; -0.02890
1385.7; 71.564; 22.32; 0.02926; -0.31928; -0.08711; -0.02947
1388.8; 71.703; 22.32; 0.02923; -0.31924; -0.08860; -0.02997
1391.9; 71.842; 22.32; 0.02919; -0.31929; -0.09162; -0.03039
1395.0; 71.981; 22.31; 0.02917; -0.31931; -0.09590; -0.03072
1398.1; 72.119; 22.31; 0.02914; -0.31908; -0.10110; -0.03092
1401.2; 72.258; 22.31; 0.02908; -0.31853; -0.10671; -0.03088
1404.3; 72.397; 22.31; 0.02898; -0.31806; -0.11195; -0.03050
1407.4; 72.536; 22.31; 0.02886; -0.31786; -0.11583; -0.02976
1410.5; 72.674; 22.31; 0.02875; -0.31791; -0.11720; -0.02867
1413.6; 72.813; 22.31; 0.02870; -0.31843; -0.11519; -0.02748
1416.7; 72.952; 22.31; 0.02871; -0.31917; -0.10989; -0.02658
1419.8; 73.090; 22.31; 0.02880; -0.31979; -0.10246; -0.02623
1422.9; 73.229; 22.31; 0.02892; -0.32023; -0.09452; -0.02644
1426.0; 73.368; 22.31; 0.02905; -0.32032; -0.08754; -0.02708
1429.1; 73.507; 22.30; 0.02913; -0.31998; -0.08266; -0.02800
1432.2; 73.646; 22.30; 0.02916; -0.31959; -0.08068; -0.02904
1435.3; 73.785; 22.30; 0.02914; -0.31933; -0.08198; -0.03010
1438.4; 73.923; 22.30; 0.02909; -0.31903; -0.08659; -0.03108
1441.5; 74.062; 22.30; 0.02901; -0.31842; -0.09409; -0.03182
1444.6; 74.201; 22.30; 0.02888; -0.31778; -0.10369; -0.03220
1447.7; 74.340; 22.30; 0.02873; -0.31748; -0.11422; -0.03213
1450.8; 74.479; 22.30; 0.02860; -0.31765; -0.12419; -0.03155
1453.9; 74.617; 22.30; 0.02854; -0.31824; -0.13184; -0.03042
1457.0; 74.756; 22.30; 0.02857; -0.31949; -0.13525; -0.02880
1460.1; 74.895; 22.30; 0.02873; -0.32079; -0.13284; -0.02693
1463.2; 75.034; 22.30; 0.02895; -0.32102; -0.12422; -0.02528
1466.3; 75.172; 22.30; 0.02906; -0.31919; -0.11062; -0.02409
1469.4; 75.311; 22.30; 0.02889; -0.31514; -0.09404; -0.02325
1472.5; 75.450; 22.30; 0.02829; -0.30991; -0.07626; -0.02249
1475.6; 75.589; 22.32; 0.02735; -0.30522; -0.05854; -0.02169
1478.7; 75.728; 22.34; 0.02632; -0.30416; -0.04171; -0.02105
1481.8; 75.866; 22.36; 0.02573; -0.30991; -0.02656; -0.02120
1484.9; 76.005; 22.37; 0.02611; -0.32196; -0.01440; -0.02288
1488.0; 76.144; 22.36; 0.02769; -0.33645; -0.00732; -0.02657
1491.1; 76.282; 22.35; 0.03026; -0.34790; -0.00790; -0.03209
1494.2; 76.421; 22.32; 0.03315; -0.34982; -0.01848; -0.03850
1497.3; 76.560; 22.29; 0.03495; -0.33142; -0.03996; -0.04371
1500.4; 76.699; 22.30; 0.03275; -0.26812; -0.06997; -0.04317
1503.5; 76.838; 22.17; 0.02690; -0.18799; -0.09660; -0.03302
1506.6; 76.979; 21.80; 0.01971; -0.10481; -0.09782; -0.01391
