# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -2.545; -3.683; 4.476
3.1; 0.144; -3.512; -1.908; 3.997
6.2; 0.291; -3.889; -1.185; 4.066
9.3; 0.443; -3.877; -1.180; 4.052
12.4; 0.600; -3.862; -1.154; 4.031
15.5; 0.761; -3.846; 0.038; 3.846
18.6; 0.927; -2.830; 3.222; 4.288
21.7; 1.096; -1.167; 6.843; 6.942
24.8; 1.267; -0.646; 8.110; 8.135
27.9; 1.439; -0.249; 7.975; 7.979
31.0; 1.609; 3.176; 2.570; 4.086
34.1; 1.778; -1.392; -6.612; 6.757
37.2; 1.948; -0.296; -8.003; 8.008
40.3; 2.118; -0.265; -7.963; 7.968
43.4; 2.289; -0.176; -7.837; 7.839
46.5; 2.461; -0.106; -7.781; 7.782
49.6; 2.634; -0.032; -7.594; 7.594
52.7; 2.807; 0.075; -6.746; 6.746
55.8; 2.979; 3.131; 0.746; 3.219
58.9; 3.147; 0.739; 6.341; 6.384
62.0; 3.315; -0.142; 7.699; 7.700
65.1; 3.484; -0.264; 7.943; 7.947
68.2; 3.653; -0.231; 7.928; 7.932
71.3; 3.822; -0.151; 7.846; 7.848
74.4; 3.993; -0.060; 7.592; 7.592
77.5; 4.165; 0.115; 6.601; 6.602
80.6; 4.334; 3.126; -0.987; 3.279
83.7; 4.500; 0.814; -6.246; 6.299
86.8; 4.666; -0.129; -7.687; 7.688
89.9; 4.833; -0.249; -7.907; 7.911
93.0; 4.999; -0.219; -7.857; 7.860
96.1; 5.167; -0.167; -7.796; 7.797
99.2; 5.335; -0.115; -7.723; 7.724
102.3; 5.505; -0.011; -7.132; 7.132
105.4; 5.672; 3.132; -0.052; 3.132
108.5; 5.837; -0.227; 6.867; 6.871
111.6; 6.003; -0.243; 7.904; 7.908
114.7; 6.169; -0.266; 7.972; 7.977
117.8; 6.336; -0.197; 7.901; 7.903
120.9; 6.503; -0.115; 7.825; 7.826
124.0; 6.672; -0.031; 7.618; 7.618
127.1; 6.841; 0.061; 6.836; 6.836
130.2; 7.008; 3.126; -0.191; 3.132
133.3; 7.173; 0.053; -6.435; 6.435
136.4; 7.339; -0.598; -7.739; 7.762
139.5; 7.505; -0.245; -7.894; 7.898
142.6; 7.672; -0.200; -7.812; 7.815
145.7; 7.839; -0.155; -7.762; 7.763
148.8; 8.008; -0.116; -7.737; 7.737
151.9; 8.177; -0.029; -7.252; 7.252
155.0; 8.345; 3.141; -0.650; 3.207
158.1; 8.509; 0.433; 6.808; 6.822
161.2; 8.674; -0.251; 7.930; 7.934
164.3; 8.839; -0.288; 8.054; 8.059
167.4; 9.004; -0.188; 7.927; 7.929
170.5; 9.171; -0.086; 7.767; 7.767
173.6; 9.338; -0.016; 7.596; 7.596
176.7; 9.507; 0.049; 6.965; 6.965
179.8; 9.673; 3.138; 0.710; 3.217
182.9; 9.837; 0.120; -6.171; 6.172
186.0; 10.002; -0.812; -7.665; 7.708
189.1; 10.168; -0.244; -7.894; 7.898
192.2; 10.334; -0.203; -7.818; 7.821
195.3; 10.501; -0.159; -7.770; 7.772
198.4; 10.669; -0.121; -7.761; 7.762
201.5; 10.837; -0.041; -7.367; 7.367
204.6; 11.004; 3.155; -1.644; 3.557
207.7; 11.168; 0.242; 6.555; 6.559
210.8; 11.333; -0.232; 7.891; 7.895
213.9; 11.498; -0.272; 7.986; 7.990
217.0; 11.663; -0.204; 7.907; 7.910
220.1; 11.829; -0.124; 7.837; 7.838
223.2; 11.996; -0.041; 7.664; 7.664
226.3; 12.164; 0.037; 7.046; 7.046
229.4; 12.330; 3.145; 1.197; 3.365
232.5; 12.493; 0.414; -6.026; 6.040
235.6; 12.657; -0.834; -7.635; 7.681
238.7; 12.822; -0.244; -7.896; 7.900
241.8; 12.987; -0.206; -7.823; 7.826
244.9; 13.153; -0.162; -7.777; 7.778
248.0; 13.320; -0.124; -7.775; 7.776
251.1; 13.488; -0.048; -7.425; 7.425
254.2; 13.654; 3.162; -2.253; 3.882
257.3; 13.818; 0.273; 6.351; 6.356
260.4; 13.981; -0.220; 7.871; 7.874
263.5; 14.145; -0.273; 7.989; 7.993
266.6; 14.310; -0.208; 7.910; 7.913
269.7; 14.475; -0.131; 7.844; 7.845
272.8; 14.641; -0.049; 7.696; 7.696
275.9; 14.808; 0.025; 7.184; 7.184
279.0; 14.974; 3.159; 2.278; 3.895
282.1; 15.137; -0.401; -5.751; 5.765
285.2; 15.301; -0.848; -7.603; 7.650
288.3; 15.467; -0.248; -7.904; 7.908
291.4; 15.633; -0.207; -7.825; 7.828
294.5; 15.799; -0.163; -7.774; 7.776
297.6; 15.966; -0.126; -7.782; 7.783
300.7; 16.135; -0.051; -7.471; 7.471
303.8; 16.301; 3.168; -2.638; 4.123
306.9; 16.465; 0.687; 6.000; 6.040
310.0; 16.629; -0.188; 7.811; 7.814
313.1; 16.792; -0.276; 7.990; 7.995
316.2; 16.957; -0.217; 7.911; 7.914
319.3; 17.122; -0.142; 7.845; 7.846
322.4; 17.288; -0.064; 7.712; 7.712
325.5; 17.455; 0.009; 7.272; 7.272
328.6; 17.621; 2.426; 3.455; 4.222
331.7; 17.785; -0.843; -5.113; 5.182
334.8; 17.952; -0.903; -7.489; 7.544
337.9; 18.119; -0.254; -7.916; 7.921
341.0; 18.286; -0.214; -7.831; 7.834
344.1; 18.454; -0.166; -7.768; 7.770
347.2; 18.623; -0.131; -7.781; 7.782
350.3; 18.794; -0.057; -7.490; 7.490
353.4; 18.962; 3.173; -2.652; 4.135
356.5; 19.127; 1.365; 5.525; 5.691
359.6; 19.291; -0.126; 7.698; 7.699
362.7; 19.455; -0.277; 7.990; 7.995
365.8; 19.620; -0.229; 7.921; 7.925
368.9; 19.786; -0.155; 7.852; 7.853
