# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00355; 8.2; -2429.8; 103.4
3.1; 0.288; 0.00262; 8.2; -2443.2; 75.5
6.2; 0.594; -0.00045; 8.1; -2484.1; 0.0
9.3; 0.923; -0.00740; 8.3; -2406.2; -117.1
12.4; 1.280; -0.01674; 8.6; -2330.6; -212.5
15.5; 1.671; -0.00950; 8.3; -2401.9; -116.4
18.6; 2.113; 0.07490; 9.5; -2114.3; 251.2
21.7; 2.626; 0.28540; 39.3; -508.7; 1729.3
24.8; 3.220; 0.35616; 21.2; -945.4; 1565.8
27.9; 3.897; 0.55557; 24.2; -826.4; 764.3
31.0; 4.830; -0.15752; 2134.2; -9.4; -224.7
34.1; 5.794; -0.42008; 0.0; -58.5; -1093.4
37.2; 6.659; -0.32197; 811.1; -0.0; -1274.0
40.3; 7.480; 0.04184; 2447.1; -0.0; -155.1
43.4; 8.157; 0.13039; 1764.6; -0.0; 796.0
46.5; 8.713; 0.20093; 775.0; -0.0; 1590.1
49.6; 9.223; 0.21851; 482.6; -0.0; 1859.9
52.7; 9.726; 0.17696; 564.9; -0.0; 1835.2
55.8; 10.226; 0.11764; 1210.8; -0.0; 1370.5
58.9; 10.710; 0.09383; 1672.4; -0.0; 1049.0
62.0; 11.162; 0.05884; 1970.6; -0.0; 789.3
65.1; 11.579; 0.02578; 2304.1; -0.0; 414.8
68.2; 11.964; 0.00501; 2524.4; -0.0; 102.7
71.3; 12.319; -0.00021; 2588.7; -0.0; 0.0
74.4; 12.649; 0.00001; 2592.6; -0.0; 0.0
77.5; 12.959; -0.00000; 2596.5; -0.0; -0.0
80.6; 13.252; -0.00034; 2595.5; -0.0; -8.6
83.7; 13.531; -0.00183; 10.0; -1262.8; -50.9
86.8; 13.807; -0.00051; 8.1; -2479.7; -22.5
89.9; 14.096; 0.00015; 8.0; -2488.2; -0.0
93.0; 14.403; -0.00201; 8.1; -2461.3; -38.5
96.1; 14.734; -0.00937; 8.4; -2383.4; -149.3
99.2; 15.093; -0.01489; 8.5; -2348.5; -190.6
102.3; 15.488; -0.00093; 8.2; -2442.5; -50.0
105.4; 15.934; 0.08338; 9.7; -2067.5; 288.3
108.5; 16.455; 0.29157; 37.1; -538.7; 1710.2
111.6; 17.059; 0.37793; 23.9; -836.3; 1604.3
114.7; 17.741; 0.34098; 871.4; -0.0; 1604.7
117.8; 18.451; 0.20702; 1488.7; -0.0; 1445.4
120.9; 19.079; 0.15390; 1528.3; -0.0; 1201.5
124.0; 19.631; 0.15631; 1253.5; -0.0; 1327.2
