# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 11.08; 0.00039; 0.01496; -0.10088; -0.01088
3.1; 0.288; 10.46; 0.00024; 0.02081; -0.08970; 0.01721
6.2; 0.594; 9.79; 0.00019; 0.01469; -0.00160; 0.03719
9.3; 0.923; 9.07; -0.00028; -0.00185; 0.12077; 0.03944
12.4; 1.280; 8.31; -0.00237; -0.03218; 0.20809; 0.01757
15.5; 1.671; 7.50; -0.00635; -0.06386; 0.17545; -0.03117
18.6; 2.113; 6.57; -0.00374; -0.02669; -0.01726; -0.08704
21.7; 2.626; 5.59; 0.04129; 0.22464; -0.18717; -0.08887
24.8; 3.220; 5.11; 0.12808; 0.66647; -0.14055; -0.09986
27.9; 3.897; 4.32; 0.12438; 0.87347; -0.18157; -0.21237
31.0; 4.830; 2.66; -0.05036; 1.38350; -0.32554; 0.22611
34.1; 5.794; 3.91; -0.09650; -0.30330; 0.25717; 0.24816
37.2; 6.659; 3.59; -0.23443; -0.61099; 0.13489; 0.10457
40.3; 7.480; 4.01; -0.16899; -0.48737; -0.14259; 0.04111
43.4; 8.157; 5.20; 0.03025; 0.12779; -0.02487; 0.03374
46.5; 8.713; 5.90; 0.06706; 0.35699; 0.14651; -0.06176
49.6; 9.223; 6.08; 0.08795; 0.56582; 0.12476; -0.11116
52.7; 9.726; 6.13; 0.07461; 0.69094; 0.06309; -0.08742
55.8; 10.226; 6.22; 0.04360; 0.64539; 0.01462; -0.04648
58.9; 10.710; 6.60; 0.04449; 0.35477; -0.01188; -0.04577
62.0; 11.162; 7.14; 0.03813; 0.29202; -0.04451; -0.04395
65.1; 11.579; 7.74; 0.02180; 0.19440; -0.07143; -0.01813
68.2; 11.964; 8.40; 0.00843; 0.09045; -0.06293; 0.00160
71.3; 12.319; 9.07; 0.00123; 0.01805; -0.04253; 0.00493
74.4; 12.649; 9.70; -0.00014; -0.00114; -0.03112; 0.00212
77.5; 12.959; 10.30; 0.00000; 0.00004; -0.02691; 0.00115
80.6; 13.252; 10.86; -0.00000; -0.00000; -0.02113; 0.00306
83.7; 13.531; 11.40; -0.00006; -0.00172; -0.00598; 0.00716
86.8; 13.807; 11.06; -0.00019; -0.01044; 0.02116; 0.01058
89.9; 14.096; 10.42; 0.00011; -0.00360; 0.05925; 0.01357
93.0; 14.403; 9.74; 0.00010; 0.00055; 0.10466; 0.01497
96.1; 14.734; 9.02; -0.00052; -0.00961; 0.14422; 0.01046
99.2; 15.093; 8.26; -0.00298; -0.04037; 0.14336; -0.00772
102.3; 15.488; 7.44; -0.00563; -0.05570; 0.05873; -0.03835
105.4; 15.934; 6.48; 0.00030; 0.00265; -0.10168; -0.06609
108.5; 16.455; 5.51; 0.04584; 0.24261; -0.18484; -0.07250
111.6; 17.059; 5.01; 0.13340; 0.65970; -0.11868; -0.11445
114.7; 17.741; 4.28; 0.14884; 0.84487; -0.10441; -0.15958
117.8; 18.451; 4.61; 0.17113; 0.65671; -0.08156; -0.10435
120.9; 19.079; 5.29; 0.09552; 0.41248; -0.00471; -0.05624
124.0; 19.631; 5.90; 0.07213; 0.38333; 0.09408; -0.04437
127.1; 20.134; 6.32; 0.07018; 0.44045; 0.13425; -0.08360
130.2; 20.614; 6.50; 0.06985; 0.53151; 0.04091; -0.11384
133.3; 21.085; 6.69; 0.05992; 0.50170; -0.10331; -0.08854
136.4; 21.535; 7.15; 0.04130; 0.33290; -0.17255; -0.03549
139.5; 21.951; 7.78; 0.01782; 0.15994; -0.14072; 0.01539
142.6; 22.332; 8.49; 0.00256; 0.02945; -0.03062; 0.04163
145.7; 22.684; 9.14; -0.00327; -0.04123; 0.07866; 0.02645
148.8; 23.032; 8.65; -0.00541; -0.08200; 0.06643; -0.02848
151.9; 23.409; 7.85; -0.00192; -0.02601; -0.09156; -0.06081
155.0; 23.827; 6.95; 0.00078; 0.00613; -0.22766; -0.01024
158.1; 24.301; 5.97; -0.01861; -0.11319; -0.13736; 0.11763
161.2; 24.848; 5.45; -0.09807; -0.54661; 0.10640; 0.16947
164.3; 25.457; 4.96; -0.12032; -0.75259; 0.18715; 0.09917
167.4; 26.076; 5.22; -0.12488; -0.60494; 0.03600; 0.05538
170.5; 26.645; 5.65; -0.09883; -0.50780; -0.01315; 0.13306
173.6; 27.217; 5.25; -0.11318; -0.71014; 0.05680; 0.11316
176.7; 27.819; 5.09; -0.11859; -0.56058; -0.07314; 0.01347
179.8; 28.392; 5.68; -0.01765; -0.05713; -0.02546; 0.10135
182.9; 28.982; 4.94; -0.11227; -0.48812; 0.08197; 0.13613
186.0; 29.756; 3.37; -0.26731; -0.60190; 0.09270; 0.26677
