# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
257.3; 35.215; 7.15; 0.10982; 0.66669; -0.15056; -0.08972
260.4; 35.670; 6.72; 0.18925; 1.17050; 0.01038; -0.15728
263.5; 36.147; 6.24; 0.19294; 1.31681; 0.01632; -0.18314
266.6; 36.622; 6.75; 0.16327; 0.84741; 0.02330; -0.11349
269.7; 37.053; 7.62; 0.06752; 0.39499; -0.02271; -0.09706
272.8; 37.445; 8.27; 0.08940; 0.64659; -0.00668; -0.06061
275.9; 37.803; 9.03; 0.05542; 0.44394; 0.00933; -0.04804
279.0; 38.129; 10.00; 0.03299; 0.30757; -0.02623; -0.04529
282.1; 38.427; 10.82; 0.03097; 0.34362; -0.03734; -0.02570
285.2; 38.706; 11.42; 0.03021; 0.39332; -0.00245; -0.02070
288.3; 38.976; 11.47; 0.03413; 0.62641; 0.04567; -0.02305
291.4; 39.247; 11.36; 0.02214; 0.75976; 0.04102; -0.03875
294.5; 39.521; 11.27; 0.00172; 0.77103; -0.06372; -0.04073
297.6; 39.799; 11.18; -0.01754; 0.74595; -0.16275; 0.01042
300.7; 40.069; 11.91; 0.00871; 0.20645; -0.10627; 0.02947
303.8; 40.321; 12.73; 0.00991; 0.15384; -0.00093; 0.02176
306.9; 40.557; 13.50; 0.00258; 0.04867; 0.05969; 0.00899
310.0; 40.780; 14.23; -0.00193; -0.03819; 0.04742; -0.01545
313.1; 40.993; 14.92; 0.00007; -0.00019; -0.03516; -0.03757
316.2; 41.198; 15.32; 0.00883; 0.27938; -0.11924; -0.03000
319.3; 41.403; 15.14; 0.00265; 0.56791; -0.13922; 0.00335
322.4; 41.608; 15.07; -0.01399; 0.58508; -0.10285; 0.03153
325.5; 41.815; 14.99; -0.02660; 0.54654; -0.04694; 0.04846
328.6; 42.022; 15.03; -0.02156; 0.32925; 0.02784; 0.05176
331.7; 42.224; 15.67; -0.00110; 0.08529; 0.11743; 0.02189
334.8; 42.417; 16.29; -0.00024; 0.01133; 0.12737; -0.01176
337.9; 42.607; 16.42; -0.00044; -0.01393; 0.05490; -0.03097
341.0; 42.800; 15.69; 0.00006; -0.00911; -0.04569; -0.03049
344.1; 43.003; 14.92; 0.00043; 0.01617; -0.11142; -0.01046
